Taint Flag Indentifier,Input Source,Nature,Trust Level,Language
NETWORK,Network,GENERAL,1|1,DEFAULT|cpp
REGISTRY,Windows Registry,GENERAL,5|5,DEFAULT|cpp
EXCEPTION_COM_ALLAIRE_COLDFUSION_HTTPNOTFOUND,,SPECIFIC,,DEFAULT
EXCEPTION_COM_ALLAIRE_COLDFUSION_HTTPAUTHFAILURE,,SPECIFIC,,DEFAULT
VALIDATED_PROCESS_CONTROL,,NEUTRAL,,DEFAULT
VALIDATED_PASSWORD_MANAGEMENT,,NEUTRAL,,DEFAULT
VALIDATED_PRIVACY_VIOLATION_HEAP_INSPECTION,,NEUTRAL,,DEFAULT
VALIDATED_SYSTEM_INFORMATION_LEAK,,NEUTRAL,,DEFAULT
NO_NEW_LINE,,NEUTRAL,,DEFAULT
LATERAL,,NEUTRAL,,DEFAULT
VALIDATED_HEADER_MANIPULATION,,NEUTRAL,,DEFAULT
EXCEPTION_COM_ALLAIRE_COLDFUSION_HTTPNOTACCEPTABLE,,SPECIFIC,,DEFAULT
PROPERTY,System Properties,GENERAL,5|5,DEFAULT|cpp
ENCRYPTED,,NEUTRAL,,DEFAULT
VALIDATED_COLDFUSION_BAD_PRACTICES_UNAUTHORIZED_INCLUDE,,NEUTRAL,,DEFAULT
EXCEPTIONINFO,,NEUTRAL,,DEFAULT
EXCEPTION_COM_ALLAIRE_COLDFUSION_CFEXECUTE_OUTPUTERROR,,SPECIFIC,,DEFAULT
EXCEPTION_COM_ALLAIRE_COLDFUSION_CFEXECUTE_TIMEOUT,,SPECIFIC,,DEFAULT
XSS,,GENERAL,,DEFAULT
EXCEPTION_COM_ALLAIRE_COLDFUSION_HTTPPROXYAUTHENTICATIONREQUIRED,,SPECIFIC,,DEFAULT
VALIDATED_DENIAL_OF_SERVICE,,NEUTRAL,,DEFAULT
EXCEPTION_COM_ALLAIRE_COLDFUSION_HTTPPARTIALCONTENT,,SPECIFIC,,DEFAULT
EXCEPTION_COM_ALLAIRE_COLDFUSION_POPAUTHFAILURE,,SPECIFIC,,DEFAULT
EXCEPTION_COM_ALLAIRE_COLDFUSION_HTTPFILENOTPASSED,,SPECIFIC,,DEFAULT
PRIVATE,Private Information,SPECIFIC,0|0,DEFAULT|cpp
VALIDATED_CROSS_SITE_SCRIPTING_POOR_VALIDATION,,NEUTRAL,,DEFAULT
EXCEPTION_COM_ALLAIRE_COLDFUSION_HTTPUNSUPPORTEDMEDIATYPE,,SPECIFIC,,DEFAULT
VALIDATED_PRIVACY_VIOLATION,,NEUTRAL,,DEFAULT
VALIDATED_SETTING_MANIPULATION,,NEUTRAL,,DEFAULT
EXCEPTION_COM_ALLAIRE_COLDFUSION_POPDELETEERROR,,SPECIFIC,,DEFAULT
VALIDATED_ACCESS_CONTROL_DLI,,NEUTRAL,,DEFAULT
VALIDATED_DYNAMIC_CODE_EVALUATION_COMMAND_INJECTION,,NEUTRAL,,DEFAULT
CONSOLE,Console,GENERAL,5|5,DEFAULT|cpp
EXCEPTION_COM_ALLAIRE_COLDFUSION_HTTPFILEINVALIDPATH,,SPECIFIC,,DEFAULT
JAVASCRIPT,Dynamically Generated JavaScript,SPECIFIC,0|5,DEFAULT|cpp
EXCEPTION_COM_ALLAIRE_COLDFUSION_HTTPFAILURE,,SPECIFIC,,DEFAULT
EXCEPTION_COM_ALLAIRE_COLDFUSION_HTTPSERVICEUNAVAILABLE,,SPECIFIC,,DEFAULT
VALIDATED_POSSIBLE_VARIABLE_OVEWRITE_FUNCTIONAL_SCOPE,,NEUTRAL,,DEFAULT
EXCEPTION_COM_ALLAIRE_COLDFUSION_HTTPBADREQUEST,,SPECIFIC,,DEFAULT
CONSTANTFILE,,NEUTRAL,,DEFAULT
VALIDATED_LDAP_MANIPULATION,,NEUTRAL,,DEFAULT
SERIALIZED,Serialized Data,GENERAL,5|5,DEFAULT|cpp
EXCEPTION_COM_ALLAIRE_COLDFUSION_HTTPUSEPROXY,,SPECIFIC,,DEFAULT
VALIDATED_STRING_TERMINATION_ERROR,,NEUTRAL,,DEFAULT
VALIDATED_CODE_CORRECTNESS_ERRONEOUS_CLASS_COMPARE,,NEUTRAL,,DEFAULT
ARGS,Command Line Arguments,GENERAL,5|1,DEFAULT|cpp
VALIDATED_UNSAFE_JNI,,NEUTRAL,,DEFAULT
VALIDATED_UNSAFE_NATIVE_INVOKE,,NEUTRAL,,DEFAULT
LDAP,LDAP Service,GENERAL,5|5,DEFAULT|cpp
EXCEPTION_COM_ALLAIRE_COLDFUSION_HTTPPRECONDITIONFAILED,,SPECIFIC,,DEFAULT
NUMBER,,NEUTRAL,,DEFAULT
DYNAMIC,,NEUTRAL,,DEFAULT
BODYCONTENT_PASSTHROUGH,,NEUTRAL,,DEFAULT
VALIDATED_LDAP_INJECTION,,NEUTRAL,,DEFAULT
VALIDATED_PCI_PRIVATE,,NEUTRAL,,DEFAULT
VALIDATED_SQL_INJECTION_HIBERNATE,,NEUTRAL,,DEFAULT
VALIDATED_DYNAMIC_CODE_EVALUATION_CODE_INJECTION,,NEUTRAL,,DEFAULT
EXCEPTION_COM_ALLAIRE_COLDFUSION_FILEEXCEPTION,,SPECIFIC,,DEFAULT
VALIDATED_SQL_INJECTION_PERSISTENCE,,NEUTRAL,,DEFAULT
EXCEPTION_COM_ALLAIRE_COLDFUSION_HTTPREQUESTURITOOLARGE,,SPECIFIC,,DEFAULT
ENCRYPT,,SPECIFIC,,DEFAULT
VALIDATED_DYNAMIC_CODE_EVALUATION_CODE_MANIPULATION,,NEUTRAL,,DEFAULT
PASSWORD,,SPECIFIC,,DEFAULT
EXCEPTION_COM_ALLAIRE_COLDFUSION_HTTPFORBIDDEN,,SPECIFIC,,DEFAULT
VALIDATED_XPATH_INJECTION,,NEUTRAL,,DEFAULT
EXCEPTION_COM_ALLAIRE_COLDFUSION_HTTPCONTENTLENGTHREQUIRED,,SPECIFIC,,DEFAULT
EXCEPTION_COM_ALLAIRE_COLDFUSION_HTTPBADGATEWAY,,SPECIFIC,,DEFAULT
EXCEPTION_OBJECT,,SPECIFIC,,DEFAULT
EXCEPTION_COM_ALLAIRE_COLDFUSION_HTTPVERSIONNOTSUPPORTED,,SPECIFIC,,DEFAULT
EXCEPTION_COM_ALLAIRE_COLDFUSION_HTTPMULTIPLECHOICES,,SPECIFIC,,DEFAULT
VALIDATED_PASSWORD_MANAGEMENT_WEAK_CRYPTOGRAPHY,,NEUTRAL,,DEFAULT
VALIDATED_DYNAMIC_CODE_EVALUATION_SCRIPT_INJECTION,,NEUTRAL,,DEFAULT
VALIDATED_POSSIBLE_VARIABLE_OVEWRITE_GLOBAL_SCOPE,,NEUTRAL,,DEFAULT
NULL_TERMINATED,,NEUTRAL,,DEFAULT
EXCEPTION_COM_ALLAIRE_COLDFUSION_HTTPMOVEDTEMPORARILY,,SPECIFIC,,DEFAULT
VALIDATED_LOG_FORGING__DEBUG_,,NEUTRAL,,DEFAULT
PCI_PRIVATE,Private Information,SPECIFIC,5|5,DEFAULT|cpp
EXCEPTION_COM_ALLAIRE_COLDFUSION_HTTPNOTMODIFIED,,SPECIFIC,,DEFAULT
EXCEPTION_COM_ALLAIRE_COLDFUSION_HTTPCGIVALUENOTPASSED,,SPECIFIC,,DEFAULT
EXCEPTION_COM_ALLAIRE_COLDFUSION_HTTPNOCONTENT,,SPECIFIC,,DEFAULT
VALIDATED_CROSS_SITE_SCRIPTING_DOM,,NEUTRAL,,DEFAULT
EXCEPTION_SECURITY,,SPECIFIC,,DEFAULT
VALIDATED_CREDENTIAL_MANAGEMENT,,NEUTRAL,,DEFAULT
VALIDATED_CROSS_SITE_SCRIPTING_PERSISTENT,,NEUTRAL,,DEFAULT
VALIDATED_FILE_PERMISSION_MANIPULATION,,NEUTRAL,,DEFAULT
VALIDATED_TRUST_BOUNDARY_VIOLATION,,NEUTRAL,,DEFAULT
RPC,Remote Procedure Call,GENERAL,5|5,DEFAULT|cpp
DATABASE,Database,GENERAL,2|2,DEFAULT|cpp
EXCEPTION_COM_ALLAIRE_COLDFUSION_HTTPMETHODNOTALLOWED,,SPECIFIC,,DEFAULT
GUI_FORM,GUI Form,GENERAL,5|5|0,DEFAULT|cpp|objc
EXCEPTION_COM_ALLAIRE_COLDFUSION_HTTPCONFLICT,,SPECIFIC,,DEFAULT
SYSTEMINFO,System Information,SPECIFIC,0|0,DEFAULT|cpp
EXCEPTION_COM_ALLAIRE_COLDFUSION_HTTPMOVEDPERMANENTLY,,SPECIFIC,,DEFAULT
ENVIRONMENT,Environment Variables,GENERAL,5|1,DEFAULT|cpp
EXCEPTION_EXPRESSION,,SPECIFIC,,DEFAULT
VALIDATED_RESOURCE_INJECTION,,NEUTRAL,,DEFAULT
VALIDATED_DANGEROUS_FILE_INCLUSION,,NEUTRAL,,DEFAULT
WEBSERVICE,Web Service,GENERAL,0|5,DEFAULT|cpp
NOVALIDATION,,SPECIFIC,,DEFAULT
VALIDATED_XML_INJECTION,,NEUTRAL,,DEFAULT
XSSSTREAM,,SPECIFIC,,DEFAULT
JSP_RESPONSE,,SPECIFIC,,DEFAULT
EXCEPTION_TEMPLATE,,SPECIFIC,,DEFAULT
VALIDATED_LOG_FORGING,,NEUTRAL,,DEFAULT
EXCEPTION_COM_ALLAIRE_COLDFUSION_HTTPNOTIMPLEMENTED,,SPECIFIC,,DEFAULT
WEAKCRYPTO,,NEUTRAL,,DEFAULT
VALIDATED_POOR_ERROR_HANDLING_UNHANDLED_EXCEPTION,,NEUTRAL,,DEFAULT
EXCEPTION_COM_ALLAIRE_COLDFUSION_HTTPCONNECTIONTIMEOUT,,SPECIFIC,,DEFAULT
SECRET_KEY,,SPECIFIC,,DEFAULT
EXCEPTION_APPLICATION,,SPECIFIC,,DEFAULT
STRING_LENGTH,,NEUTRAL,,DEFAULT
VALIDATED_SQL_INJECTION,,NEUTRAL,,DEFAULT
VALIDATED_JAVASCRIPT_HIJACKING_AD_HOC_AJAX,,NEUTRAL,,DEFAULT
POORVALIDATION,,SPECIFIC,,DEFAULT
FILE_SYSTEM,File System,GENERAL,5|1,DEFAULT|cpp
VALIDATED_CROSS_SITE_SCRIPTING_REFLECTED,,NEUTRAL,,DEFAULT
XML,XML Document,GENERAL,5|5,DEFAULT|cpp
NAMING,Naming Service,GENERAL,5|5,DEFAULT|cpp
WICKET_VALIDATION_OFF,,SPECIFIC,,DEFAULT
JPANE_HTML_ON,,SPECIFIC,,DEFAULT
EXCEPTION_COM_ALLAIRE_COLDFUSION_HTTPGATEWAYTIMEOUT,,SPECIFIC,,DEFAULT
EXCEPTION_COM_ALLAIRE_COLDFUSION_HTTPRESETCONTENT,,SPECIFIC,,DEFAULT
HARDCODED_PORT,,SPECIFIC,,DEFAULT
VALIDATED_ILLEGAL_POINTER_VALUE,,NEUTRAL,,DEFAULT
VALIDATED_FORMAT_STRING,,NEUTRAL,,DEFAULT
STATICDATA,,SPECIFIC,,DEFAULT
VALIDATED_POSSIBLE_VARIABLE_OVEWRITE,,NEUTRAL,,DEFAULT
DNS,Domain Name System,GENERAL,5|5,DEFAULT|cpp
EXCEPTION_DATABASE,,SPECIFIC,,DEFAULT
STREAM,Stream,GENERAL,5|2,DEFAULT|cpp
EXCEPTION_LOCK,,SPECIFIC,,DEFAULT
EXCEPTION_COM_ALLAIRE_COLDFUSION_HTTPSEEOTHER,,SPECIFIC,,DEFAULT
NOT_NULL_TERM_TRUNCATE,,NEUTRAL,,DEFAULT
LDAP_ENCODED,,NEUTRAL,,DEFAULT
DEOBFUSCATED,,NEUTRAL,,DEFAULT
VALIDATED_COMMAND_INJECTION,,NEUTRAL,,DEFAULT
EXCEPTION_COM_ALLAIRE_COLDFUSION_HTTPACCEPTED,,SPECIFIC,,DEFAULT
EXCEPTION_COM_ALLAIRE_COLDFUSION_HTTPSWITCHINGPROTOCOLS,,SPECIFIC,,DEFAULT
VALIDATED_DANGEROUS_FUNCTION,,NEUTRAL,,DEFAULT
WEB,Web,GENERAL,0|5,DEFAULT|cpp
EXCEPTION_COM_ALLAIRE_COLDFUSION_HTTPNONAUTHORITATIVEINFO,,SPECIFIC,,DEFAULT
EXCEPTION_ANY,,SPECIFIC,,DEFAULT
EXCEPTION_COM_ALLAIRE_COLDFUSION_POPCONNECTIONFAILURE,,SPECIFIC,,DEFAULT
VALIDATED_UNSAFE_REFLECTION,,NEUTRAL,,DEFAULT
EXCEPTION_COM_ALLAIRE_COLDFUSION_SERVLETJRUNERROR,,SPECIFIC,,DEFAULT
EXCEPTION_COM_ALLAIRE_COLDFUSION_HTTPFILENOTRENDERABLE,,SPECIFIC,,DEFAULT
VALIDATED_PRIVILEGE_MANAGEMENT_AMAZON_WEB_SERVICES_UNCHECKED_PERMISSIONS,,NEUTRAL,,DEFAULT
VALIDATED_ACCESS_CONTROL_AMAZON_WEB_SERVICES,,NEUTRAL,,DEFAULT
VALIDATED_QUERY_STRING_INJECTION_AMAZON_WEB_SERVICES,,NEUTRAL,,DEFAULT
VALIDATED_ACCESS_CONTROL_ANDROID_PROVIDER,,NEUTRAL,,DEFAULT
VALIDATED_QUERY_STRING_INJECTION_ANDROID_PROVIDER,,NEUTRAL,,DEFAULT
VALIDATED_PRIVILEGE_MANAGEMENT,,NEUTRAL,,DEFAULT
CHAINED_CROSS_SITE_SCRIPTING_REFLECTED,,SPECIFIC,,DEFAULT
CHAINED_CROSS_SITE_SCRIPTING_PERSISTENT,,SPECIFIC,,DEFAULT
CHAINED_CROSS_SITE_SCRIPTING_POOR_VALIDATION,,SPECIFIC,,DEFAULT
CHAINED_SYSTEM_INFORMATION_LEAK,,SPECIFIC,,DEFAULT
CHAINED_PRIVACY_VIOLATION,,SPECIFIC,,DEFAULT
CHAINED_JAVASCRIPT_HIJACKING_AD_HOC_AJAX,,SPECIFIC,,DEFAULT
HTML_ENCODE,,NEUTRAL,,DEFAULT
URL_ENCODE,,NEUTRAL,,DEFAULT
SCRIPT_ENCODE,,NEUTRAL,,DEFAULT
OTHER_ENCODE,,NEUTRAL,,DEFAULT
VALIDATED_DENIAL_OF_SERVICE_PARSE_DOUBLE,,NEUTRAL,,DEFAULT
VALIDATED_FLASH_MISCONFIGURATION_POLICY_RESTRICTIONS_BYPASS,,NEUTRAL,,DEFAULT
VALIDATED_CROSS_SITE_FLASHING,,NEUTRAL,,DEFAULT
INTENTSENDINGACTIVITY,,SPECIFIC,,DEFAULT
INTENTSENDINGSERVICE,,SPECIFIC,,DEFAULT
INTENTSENDINGBROADCAST,,SPECIFIC,,DEFAULT
INTENTRECEIVINGACTION,,SPECIFIC,,DEFAULT
CONTENTPROVIDERREAD,,SPECIFIC,,DEFAULT
CONTENTPROVIDERWRITE,,SPECIFIC,,DEFAULT
FILESEPARATOR,,SPECIFIC,,DEFAULT
VALIDATED_FILE_DISCLOSURE,,NEUTRAL,,DEFAULT
VALIDATED_PORTABILITY_FLAW_FILE_SEPARATOR,,NEUTRAL,,DEFAULT
VALIDATED_REGEX_DOS,,NEUTRAL,,DEFAULT
PASSWORD_IN_STR,Private Information, SPECIFIC,2|5,DEFAULT|objc
INSECURE_PROTOCOL,Insecure Protocol Identifier, SPECIFIC,2|5,DEFAULT|objc
KEYBOARD_CACHE,Private Information, SPECIFIC,2|5,DEFAULT|objc
SNAPSHOT_CACHE,Private Information, SPECIFIC,2|5,DEFAULT|objc
COOKIE_PLIST,Private Information, SPECIFIC,2|5,DEFAULT|objc
CHANNEL,Channel,GENERAL,5|2,DEFAULT|cpp
VALIDATED_XXE_INJECTION,,NEUTRAL,,DEFAULT
VALIDATED_XSLT_INJECTION,,NEUTRAL,,DEFAULT
VALIDATED_XQUERY_INJECTION,,NEUTRAL,,DEFAULT
VALIDATED_HTTP_PARAMETER_POLLUTION,,NEUTRAL,,DEFAULT
